r,t,e,y,AnnualTechnologyEmission
"Atlantis_00A","PV_UTL","CH4",2031,0
"Atlantis_00A","PV_UTL","CH4",2032,0
"Atlantis_00A","PV_UTL","CH4",2033,0
"Atlantis_00A","PV_UTL","CH4",2034,0
"Atlantis_00A","PV_UTL","CH4",2035,0
"Atlantis_00A","PV_UTL","CH4",2036,0
"Atlantis_00A","PV_UTL","CH4",2037,0
"Atlantis_00A","PV_UTL","CH4",2038,0
"Atlantis_00A","PV_UTL","CH4",2039,0
"Atlantis_00A","PV_UTL","CH4",2040,0
"Atlantis_00A","PV_UTL","CH4",2041,0
"Atlantis_00A","PV_UTL","CH4",2042,0
"Atlantis_00A","PV_UTL","CH4",2043,0
"Atlantis_00A","PV_UTL","CH4",2044,0
"Atlantis_00A","PV_UTL","CH4",2045,0
"Atlantis_00A","PV_UTL","CH4",2046,0
"Atlantis_00A","PV_UTL","CH4",2047,0
"Atlantis_00A","PV_UTL","CH4",2048,0
"Atlantis_00A","PV_UTL","CH4",2049,0
"Atlantis_00A","PV_UTL","CH4",2050,0
"Atlantis_00A","PV_UTL","CH4",2051,0
"Atlantis_00A","PV_UTL","CH4",2052,0
"Atlantis_00A","PV_UTL","CH4",2053,0
"Atlantis_00A","PV_UTL","CH4",2054,0
"Atlantis_00A","PV_UTL","CH4",2055,0
"Atlantis_00A","TRANS","CO2",2014,0
"Atlantis_00A","TRANS","CO2",2015,0
"Atlantis_00A","TRANS","CO2",2016,0
"Atlantis_00A","TRANS","CO2",2017,0
"Atlantis_00A","TRANS","CO2",2018,0
"Atlantis_00A","TRANS","CO2",2019,0
"Atlantis_00A","TRANS","CO2",2020,0
"Atlantis_00A","TRANS","CO2",2021,0
"Atlantis_00A","TRANS","CO2",2022,0
"Atlantis_00A","TRANS","CO2",2023,0
"Atlantis_00A","TRANS","CO2",2024,0
"Atlantis_00A","TRANS","CO2",2025,0
"Atlantis_00A","TRANS","CO2",2026,0
"Atlantis_00A","TRANS","CO2",2027,0
"Atlantis_00A","TRANS","CO2",2028,0
"Atlantis_00A","TRANS","CO2",2029,0
"Atlantis_00A","TRANS","CO2",2030,0
"Atlantis_00A","TRANS","CO2",2031,0
"Atlantis_00A","TRANS","CO2",2032,0
"Atlantis_00A","TRANS","CO2",2033,0
"Atlantis_00A","TRANS","CO2",2034,0
"Atlantis_00A","TRANS","CO2",2035,0
"Atlantis_00A","TRANS","CO2",2036,0
"Atlantis_00A","TRANS","CO2",2037,0
"Atlantis_00A","TRANS","CO2",2038,0
"Atlantis_00A","TRANS","CO2",2039,0
"Atlantis_00A","TRANS","CO2",2040,0
"Atlantis_00A","TRANS","CO2",2041,0
"Atlantis_00A","TRANS","CO2",2042,0
"Atlantis_00A","TRANS","CO2",2043,0
"Atlantis_00A","TRANS","CO2",2044,0
"Atlantis_00A","TRANS","CO2",2045,0
"Atlantis_00A","TRANS","CO2",2046,0
"Atlantis_00A","TRANS","CO2",2047,0
"Atlantis_00A","TRANS","CO2",2048,0
"Atlantis_00A","TRANS","CO2",2049,0
"Atlantis_00A","TRANS","CO2",2050,0
"Atlantis_00A","TRANS","CO2",2051,0
"Atlantis_00A","TRANS","CO2",2052,0
"Atlantis_00A","TRANS","CO2",2053,0
"Atlantis_00A","TRANS","CO2",2054,0
"Atlantis_00A","TRANS","CO2",2055,0
"Atlantis_00A","TRANS","CH4",2014,0
"Atlantis_00A","TRANS","CH4",2015,0
"Atlantis_00A","TRANS","CH4",2016,0
"Atlantis_00A","TRANS","CH4",2017,0
"Atlantis_00A","TRANS","CH4",2018,0
"Atlantis_00A","TRANS","CH4",2019,0
"Atlantis_00A","TRANS","CH4",2020,0
"Atlantis_00A","TRANS","CH4",2021,0
"Atlantis_00A","TRANS","CH4",2022,0
"Atlantis_00A","TRANS","CH4",2023,0
"Atlantis_00A","TRANS","CH4",2024,0
"Atlantis_00A","TRANS","CH4",2025,0
"Atlantis_00A","TRANS","CH4",2026,0
"Atlantis_00A","TRANS","CH4",2027,0
"Atlantis_00A","TRANS","CH4",2028,0
"Atlantis_00A","TRANS","CH4",2029,0
"Atlantis_00A","TRANS","CH4",2030,0
"Atlantis_00A","TRANS","CH4",2031,0
"Atlantis_00A","TRANS","CH4",2032,0
"Atlantis_00A","TRANS","CH4",2033,0
"Atlantis_00A","TRANS","CH4",2034,0
"Atlantis_00A","TRANS","CH4",2035,0
"Atlantis_00A","TRANS","CH4",2036,0
"Atlantis_00A","TRANS","CH4",2037,0
"Atlantis_00A","TRANS","CH4",2038,0
"Atlantis_00A","TRANS","CH4",2039,0
"Atlantis_00A","TRANS","CH4",2040,0
"Atlantis_00A","TRANS","CH4",2041,0
"Atlantis_00A","TRANS","CH4",2042,0
"Atlantis_00A","TRANS","CH4",2043,0
"Atlantis_00A","TRANS","CH4",2044,0
"Atlantis_00A","TRANS","CH4",2045,0
"Atlantis_00A","TRANS","CH4",2046,0
"Atlantis_00A","TRANS","CH4",2047,0
"Atlantis_00A","TRANS","CH4",2048,0
"Atlantis_00A","TRANS","CH4",2049,0
"Atlantis_00A","TRANS","CH4",2050,0
"Atlantis_00A","TRANS","CH4",2051,0
"Atlantis_00A","TRANS","CH4",2052,0
"Atlantis_00A","TRANS","CH4",2053,0
"Atlantis_00A","TRANS","CH4",2054,0
"Atlantis_00A","TRANS","CH4",2055,0
"Atlantis_00A","WIND","CO2",2014,0
"Atlantis_00A","WIND","CO2",2015,0
"Atlantis_00A","WIND","CO2",2016,0
"Atlantis_00A","WIND","CO2",2017,0
"Atlantis_00A","WIND","CO2",2018,0
"Atlantis_00A","WIND","CO2",2019,0
"Atlantis_00A","WIND","CO2",2020,0
"Atlantis_00A","WIND","CO2",2021,0
"Atlantis_00A","WIND","CO2",2022,0
"Atlantis_00A","WIND","CO2",2023,0
"Atlantis_00A","WIND","CO2",2024,0
"Atlantis_00A","WIND","CO2",2025,0
"Atlantis_00A","WIND","CO2",2026,0
"Atlantis_00A","WIND","CO2",2027,0
"Atlantis_00A","WIND","CO2",2028,0
"Atlantis_00A","WIND","CO2",2029,0
"Atlantis_00A","WIND","CO2",2030,0
"Atlantis_00A","WIND","CO2",2031,0
"Atlantis_00A","WIND","CO2",2032,0
"Atlantis_00A","WIND","CO2",2033,0
"Atlantis_00A","WIND","CO2",2034,0
"Atlantis_00A","WIND","CO2",2035,0
"Atlantis_00A","WIND","CO2",2036,0
"Atlantis_00A","WIND","CO2",2037,0
"Atlantis_00A","WIND","CO2",2038,0
"Atlantis_00A","WIND","CO2",2039,0
"Atlantis_00A","WIND","CO2",2040,0
"Atlantis_00A","WIND","CO2",2041,0
"Atlantis_00A","WIND","CO2",2042,0
"Atlantis_00A","WIND","CO2",2043,0
"Atlantis_00A","WIND","CO2",2044,0
"Atlantis_00A","WIND","CO2",2045,0
"Atlantis_00A","WIND","CO2",2046,0
"Atlantis_00A","WIND","CO2",2047,0
"Atlantis_00A","WIND","CO2",2048,0
"Atlantis_00A","WIND","CO2",2049,0
"Atlantis_00A","WIND","CO2",2050,0
"Atlantis_00A","WIND","CO2",2051,0
"Atlantis_00A","WIND","CO2",2052,0
"Atlantis_00A","WIND","CO2",2053,0
"Atlantis_00A","WIND","CO2",2054,0
"Atlantis_00A","WIND","CO2",2055,0
"Atlantis_00A","WIND","CH4",2014,0
"Atlantis_00A","WIND","CH4",2015,0
"Atlantis_00A","WIND","CH4",2016,0
"Atlantis_00A","WIND","CH4",2017,0
"Atlantis_00A","WIND","CH4",2018,0
"Atlantis_00A","WIND","CH4",2019,0
"Atlantis_00A","WIND","CH4",2020,0
"Atlantis_00A","WIND","CH4",2021,0
"Atlantis_00A","WIND","CH4",2022,0
"Atlantis_00A","WIND","CH4",2023,0
"Atlantis_00A","WIND","CH4",2024,0
"Atlantis_00A","WIND","CH4",2025,0
"Atlantis_00A","WIND","CH4",2026,0
"Atlantis_00A","WIND","CH4",2027,0
"Atlantis_00A","WIND","CH4",2028,0
"Atlantis_00A","WIND","CH4",2029,0
"Atlantis_00A","WIND","CH4",2030,0
"Atlantis_00A","WIND","CH4",2031,0
"Atlantis_00A","WIND","CH4",2032,0
"Atlantis_00A","WIND","CH4",2033,0
"Atlantis_00A","WIND","CH4",2034,0
"Atlantis_00A","WIND","CH4",2035,0
"Atlantis_00A","WIND","CH4",2036,0
"Atlantis_00A","WIND","CH4",2037,0
"Atlantis_00A","WIND","CH4",2038,0
"Atlantis_00A","WIND","CH4",2039,0
"Atlantis_00A","WIND","CH4",2040,0
"Atlantis_00A","WIND","CH4",2041,0
"Atlantis_00A","WIND","CH4",2042,0
"Atlantis_00A","WIND","CH4",2043,0
"Atlantis_00A","WIND","CH4",2044,0
"Atlantis_00A","WIND","CH4",2045,0
"Atlantis_00A","WIND","CH4",2046,0
"Atlantis_00A","WIND","CH4",2047,0
"Atlantis_00A","WIND","CH4",2048,0
"Atlantis_00A","WIND","CH4",2049,0
"Atlantis_00A","WIND","CH4",2050,0
"Atlantis_00A","WIND","CH4",2051,0
"Atlantis_00A","WIND","CH4",2052,0
"Atlantis_00A","WIND","CH4",2053,0
"Atlantis_00A","WIND","CH4",2054,0
"Atlantis_00A","WIND","CH4",2055,0
